Date,Transaction_ID,Account_Code,Account_Name,Description,Debit,Credit,Department,Notes,Net_Amount
2024-06-15,TXN-1086,4000,Revenue - Consulting,Consulting Fees Billed,0.0,4463.95,Sales,Pending Review,4463.95
2024-08-19,TXN-1120,4100,Revenue - Retainer,Office Supply Purchase,0.0,9808.74,Operations,Approved,9808.74
2024-02-12,TXN-1022,5400,Office Supplies,Monthly Office Rent,8727.93,0.0,Finance,Approved,-8727.93
2024-01-22,TXN-1011,5000,Salaries Expense,Monthly Office Rent,3445.95,0.0,Finance,Approved,-3445.95
2024-01-04,TXN-1002,5400,Office Supplies,Retainer Fee - Q1,4317.22,0.0,Sales,Approved,-4317.22
2024-08-21,TXN-1121,5300,Marketing Expense,Client Invoice Payment Received,2207.83,0.0,Admin,Pending Review,-2207.83
2024-06-30,TXN-1094,5300,Marketing Expense,Client Invoice Payment Received,12408.92,0.0,Sales,Approved,-12408.92
2024-05-07,TXN-1066,1100,Accounts Receivable,Payroll Run,8546.75,0.0,Operations,Approved,-8546.75
2024-01-05,TXN-1063,2000,Accounts Payable,Consulting Fees Billed,944.0,0.0,Sales,Approved,-944.0
2024-07-27,TXN-1108,5000,Salaries Expense,Payroll Run,6574.16,0.0,Sales,Approved,-6574.16
2024-09-23,TXN-1138,5200,Software Subscriptions,Google Ads Campaign,3518.82,0.0,Operations,Approved,-3518.82
2024-05-05,TXN-1065,1000,Cash And Bank,Payroll Run,11362.65,0.0,Finance,Approved,-11362.65
2024-12-29,,5000,Salaries Expense,Office Supply Purchase,5559.83,0.0,Sales,Approved,-5559.83
2024-10-26,TXN-1155,4100,Revenue - Retainer,Office Supply Purchase,0.0,8953.01,Operations,Approved,8953.01
2024-02-16,TXN-1024,5000,Salaries Expense,Office Supply Purchase,12048.77,0.0,Admin,Approved,-12048.77
2024-07-10,TXN-1099,5100,Rent Expense,Google Ads Campaign,3021.0,0.0,Sales,,-3021.0
2024-09-25,TXN-1139,5300,Marketing Expense,Consulting Fees Billed,14623.29,0.0,Operations,Approved,-14623.29
2024-10-03,TXN-1143,2000,Accounts Payable,Consulting Fees Billed,11365.0,0.0,Admin,,-11365.0
2024-05-22,TXN-1074,5100,Rent Expense,Client Invoice Payment Received,7430.95,0.0,Sales,Approved,-7430.95
2024-12-25,TXN-1186,5400,Office Supplies,Consulting Fees Billed,14972.0,0.0,Sales,,-14972.0
2024-11-22,TXN-1169,1100,Accounts Receivable,Monthly Office Rent,4418.93,0.0,Operations,Approved,-4418.93
2024-07-14,TXN-1101,5300,Marketing Expense,Client Invoice Payment Received,11490.52,0.0,Sales,Approved,-11490.52
2024-07-29,TXN-1109,5400,Office Supplies,Office Supply Purchase,10310.39,0.0,Admin,Approved,-10310.39
2024-12-07,TXN-1177,1000,Cash And Bank,Monthly Office Rent,9607.93,0.0,Finance,Pending Review,-9607.93
2024-04-20,TXN-1057,1100,Accounts Receivable,Monthly Office Rent,10760.46,0.0,Finance,Approved,-10760.46
2024-07-23,TXN-1106,1000,Cash And Bank,Client Invoice Payment Received,9338.4,0.0,Admin,,-9338.4
2024-04-11,TXN-1160,1100,Accounts Receivable,Monthly Office Rent,8457.86,0.0,Sales,Approved,-8457.86
2024-08-27,TXN-1124,4100,Revenue - Retainer,Consulting Fees Billed,0.0,3009.17,Finance,Pending Review,3009.17
2024-06-13,TXN-1085,2000,Accounts Payable,Office Supply Purchase,3750.0,0.0,Sales,,-3750.0
2024-08-31,TXN-1126,4000,Revenue - Consulting,Client Invoice Payment Received,0.0,8878.47,Operations,Approved,8878.47
2024-12-19,TXN-1183,5200,Software Subscriptions,Client Invoice Payment Received,10442.0,0.0,Operations,Approved,-10442.0
2024-06-03,TXN-1080,5200,Software Subscriptions,Office Supply Purchase,1718.3,0.0,Finance,,-1718.3
2024-08-12,TXN-1116,2000,Accounts Payable,Google Ads Campaign,11840.0,0.0,Operations,Approved,-11840.0
2024-09-06,TXN-1129,5200,Software Subscriptions,Bank Charges,6834.47,0.0,Sales,,-6834.47
2024-09-04,TXN-1128,5400,Office Supplies,Retainer Fee - Q1,4991.82,0.0,Finance,,-4991.82
2024-04-25,TXN-1060,4100,Revenue - Retainer,Software Licence Renewal,0.0,11351.43,Admin,Approved,11351.43
2024-08-23,TXN-1122,1100,Accounts Receivable,Client Invoice Payment Received,12538.66,0.0,Finance,Approved,-12538.66
2024-02-22,TXN-1027,4100,Revenue - Retainer,Software Licence Renewal,0.0,13912.47,Finance,,13912.47
2024-03-18,TXN-1040,5000,Salaries Expense,Payroll Run,11745.72,0.0,Admin,,-11745.72
2024-03-27,TXN-1045,1000,Cash And Bank,Tax Remittance,1804.36,0.0,Admin,,-1804.36
2024-02-29,TXN-1031,5400,Office Supplies,Google Ads Campaign,7937.0,0.0,Finance,Pending Review,-7937.0
2024-03-02,,4100,Revenue - Retainer,Bank Charges,0.0,6966.92,Sales,Approved,6966.92
2024-01-26,TXN-1013,1100,Accounts Receivable,Google Ads Campaign,10289.0,0.0,Finance,Approved,-10289.0
2024-08-13,TXN-1117,5000,Salaries Expense,Consulting Fees Billed,12102.0,0.0,Operations,,-12102.0
2024-05-30,TXN-1078,5400,Office Supplies,Google Ads Campaign,14653.78,0.0,Sales,Approved,-14653.78
2024-09-09,TXN-1131,5200,Software Subscriptions,Tax Remittance,10743.54,0.0,Operations,Approved,-10743.54
2024-02-24,TXN-1028,5400,Office Supplies,Tax Remittance,11088.0,0.0,Sales,,-11088.0
2024-02-04,TXN-1018,4100,Revenue - Retainer,Client Invoice Payment Received,0.0,8009.57,Finance,Approved,8009.57
2024-07-06,TXN-1097,5300,Marketing Expense,Monthly Office Rent,6238.26,0.0,Admin,Pending Review,-6238.26
2024-06-18,TXN-1088,1100,Accounts Receivable,Monthly Office Rent,1082.0,0.0,Finance,Approved,-1082.0
2024-10-14,,5100,Rent Expense,Tax Remittance,4484.0,0.0,Operations,Pending Review,-4484.0
2024-03-10,TXN-1036,4100,Revenue - Retainer,Consulting Fees Billed,0.0,7680.0,Operations,Approved,7680.0
2024-08-04,TXN-1112,5400,Office Supplies,Consulting Fees Billed,5512.0,0.0,Sales,,-5512.0
2024-12-17,TXN-1182,5000,Salaries Expense,Office Supply Purchase,4243.0,0.0,Sales,Approved,-4243.0
2024-04-08,TXN-1051,5400,Office Supplies,Payroll Run,5160.79,0.0,Operations,Approved,-5160.79
2024-12-21,TXN-1184,5400,Office Supplies,Monthly Office Rent,14927.45,0.0,Finance,Approved,-14927.45
2024-09-27,TXN-1140,4100,Revenue - Retainer,Payroll Run,0.0,10599.94,Sales,Pending Review,10599.94
2024-06-07,TXN-1082,1000,Cash And Bank,Monthly Office Rent,2445.0,0.0,Sales,,-2445.0
2024-03-12,TXN-1037,1000,Cash And Bank,Client Invoice Payment Received,252.0,0.0,Sales,Pending Review,-252.0
2024-09-11,TXN-1132,4100,Revenue - Retainer,Tax Remittance,0.0,9439.9,Admin,,9439.9
2024-07-15,,4000,Revenue - Consulting,Retainer Fee - Q1,0.0,12868.0,Finance,Pending Review,12868.0
2024-07-08,TXN-1098,4100,Revenue - Retainer,Software Licence Renewal,0.0,7731.0,Sales,Approved,7731.0
2024-04-04,TXN-1049,4100,Revenue - Retainer,Tax Remittance,0.0,6209.91,Admin,Approved,6209.91
