Date,Transaction_ID,Account_Code,Account_Name,Description,Debit,Credit,Department,Notes
2024-06-15,TXN-1086,4000,Revenue - Consulting,  Consulting fees billed  ,,"$4,463.95", Sales,Pending review
08/19/2024,TXN-1120,4100,REVENUE - RETAINER,Office supply purchase,,9808.74,Operations,Approved
12-Feb-2024,TXN-1022,5400,Office Supplies,Monthly office rent,8727.93,,finance,approved
22-Jan-2024,TXN-1011,5000,Salaries Expense,Monthly office rent,"$3,445.95",,finance,Approved
,,,,,,,,
01/04/2024,TXN-1002,ACC-5400,office supplies,Retainer fee - Q1,"4,317.22",, Sales,Approved
21/08/2024,TXN-1121,5300,marketing expense,client invoice payment received,"$2,207.83",,Admin,Pending review
06/30/2024,TXN-1094,5300,MARKETING EXPENSE,Client invoice payment received,"$12,408.92",,SALES,APPROVED
07-May-2024,TXN-1066,1100 ,ACCOUNTS RECEIVABLE,Payroll run,8546.75,,operations,Approved
01/05/2024,TXN-1063,2000,ACCOUNTS PAYABLE,Consulting fees billed,944,, Sales,approved
27-Jul-2024,TXN-1108,ACC-5000,Salaries Expense,Payroll run,6574.16,,SALES,approved
,TXN-1096,ACC-5200,software subscriptions,Payroll run,"1,997.11",,SALES,
09/23/2024,TXN-1138,5200 ,Software Subscriptions,Google Ads campaign,"$3,518.82",,operations,approved
05-May-2024,TXN-1065,1000,cash and bank,Payroll run,"$11,362.65",,Finance,approved
"December 29, 2024",,ACC-5000,salaries expense,Office supply purchase,"5,559.83",, Sales,approved
2024-10-26,TXN-1155,4100 ,REVENUE - RETAINER,Office supply purchase,,8953.01,Operations,APPROVED
02/16/2024,TXN-1024,ACC-5000,salaries expense,Office supply purchase,"$12,048.77",,Admin,Approved
"July 10, 2024",TXN-1099,ACC-5100,Rent Expense,Google Ads campaign,3021,, Sales,  
,TXN-1153,5400,OFFICE SUPPLIES,Tax remittance,2462,,finance,  
,TXN-1046,ACC-4000,REVENUE - CONSULTING,Retainer fee - Q1,,3969.89,finance,APPROVED
,TXN-1178,ACC-1100,Accounts Receivable,Consulting fees billed,"11,618.22",,operations,Pending review
"September 25, 2024",TXN-1139,5300,marketing expense,  Consulting fees billed  ,"14,623.29",,Operations,Approved
10/03/2024,TXN-1143,2000 ,ACCOUNTS PAYABLE,  Consulting fees billed  ,11365,,Admin,  
22-May-2024,TXN-1074,5100,RENT EXPENSE,Client invoice payment received,7430.95,, Sales,Approved
2024-12-25,TXN-1186,5400,Office Supplies,  Consulting fees billed  ,14972,, Sales,  
22-Nov-2024,TXN-1169,ACC-1100,ACCOUNTS RECEIVABLE,Monthly office rent,"$4,418.93",,operations,approved
14/07/2024,TXN-1101,5300 ,Marketing Expense,client invoice payment received,"$11,490.52",,SALES,approved
,,,,,,,,
29/07/2024,TXN-1109,ACC-5400,Office Supplies,Office supply purchase,"10,310.39",,Admin,APPROVED
2024-12-07,TXN-1177,1000,CASH AND BANK,Monthly office rent,"9,607.93",,Finance,Pending review
20-Apr-2024,TXN-1057,1100 ,accounts receivable,Monthly office rent,"$10,760.46",,Finance,Approved
23-Jul-2024,TXN-1106,1000 ,Cash and Bank,client invoice payment received,9338.40,,Admin,
04/11/2024,TXN-1160,ACC-1100,ACCOUNTS RECEIVABLE,Monthly office rent,"$8,457.86",, Sales,APPROVED
,TXN-1084,ACC-5400,office supplies,Software licence renewal,"1,091.41",,finance,
08/27/2024,TXN-1124,4100,Revenue - Retainer,  Consulting fees billed  ,,"$3,009.17",finance,Pending review
"June 13, 2024",TXN-1085,2000,ACCOUNTS PAYABLE,Office supply purchase,3750,, Sales,
31-Aug-2024,TXN-1126,ACC-4000,revenue - consulting,Client invoice payment received,,"8,878.47",operations,Approved
2024-12-19,TXN-1183,5200 ,Software Subscriptions,client invoice payment received,10442,,Operations,approved
06/03/2024,TXN-1080,5200,SOFTWARE SUBSCRIPTIONS,Office supply purchase,"1,718.30",,Finance,
2024-08-12,TXN-1116,2000 ,Accounts Payable,Google Ads campaign,11840,,operations,APPROVED
2024-09-06,TXN-1129,5200,SOFTWARE SUBSCRIPTIONS,Bank charges,"$6,834.47",,SALES,
04-Sep-2024,TXN-1128,ACC-5400,office supplies,Retainer fee - Q1,4991.82,,finance,
25/04/2024,TXN-1060,ACC-4100,REVENUE - RETAINER,Software licence renewal,,"11,351.43",Admin,approved
"August 23, 2024",TXN-1122,1100 ,Accounts Receivable,client invoice payment received,"12,538.66",,Finance,approved
22/02/2024,TXN-1027,4100,Revenue - Retainer,Software licence renewal,,"13,912.47",Finance,
18/03/2024,TXN-1040,ACC-5000,Salaries Expense,Payroll run,"$11,745.72",,Admin,
27/03/2024,TXN-1045,1000 ,CASH AND BANK,Tax remittance,1804.36,,Admin,  
07-May-2024,TXN-1066,1100 ,ACCOUNTS RECEIVABLE,Payroll run,8546.75,,operations,Approved
2024-02-29,TXN-1031,5400 ,Office Supplies,Google Ads campaign,7937,,Finance,Pending review
,TXN-1154,5400,Office Supplies,Office supply purchase,4983,,finance,APPROVED
03/02/2024,,4100,Revenue - Retainer,Bank charges,,"$6,966.92",SALES,APPROVED
"January 26, 2024",TXN-1013,1100 ,Accounts Receivable,Google Ads campaign,10289,,Finance,approved
13/08/2024,TXN-1117,ACC-5000,Salaries Expense,  Consulting fees billed  ,12102,,operations,  
"May 30, 2024",TXN-1078,5400,Office Supplies,Google Ads campaign,"$14,653.78",, Sales,Approved
09/09/2024,TXN-1131,5200,SOFTWARE SUBSCRIPTIONS,Tax remittance,"$10,743.54",,Operations,Approved
02/24/2024,TXN-1028,5400,Office Supplies,Tax remittance,11088,,SALES,  
"February 04, 2024",TXN-1018,ACC-4100,revenue - retainer,client invoice payment received,,"$8,009.57",finance,APPROVED
,TXN-1141,5100,Rent Expense,client invoice payment received,"$1,229.86",,Admin,approved
,TXN-1134,5200,SOFTWARE SUBSCRIPTIONS,  Consulting fees billed  ,"6,101.21",, Sales,Approved
06-Jul-2024,TXN-1097,5300,MARKETING EXPENSE,Monthly office rent,"$6,238.26",,Admin,Pending review
2024-06-18,TXN-1088,1100 ,ACCOUNTS RECEIVABLE,Monthly office rent,1082,,finance,APPROVED
,TXN-1058,5100,RENT EXPENSE,Consulting fees billed,10470,,Admin,
,TXN-1113,5400,OFFICE SUPPLIES,Software licence renewal,"13,003.00",,Finance,Pending review
14/10/2024,,5100 ,Rent Expense,Tax remittance,4484,,operations,Pending review
2024-03-10,TXN-1036,4100,Revenue - Retainer,  Consulting fees billed  ,,7680,operations,APPROVED
2024-08-04,TXN-1112,5400 ,Office Supplies,  Consulting fees billed  ,5512,, Sales,
2024-12-17,TXN-1182,5000,salaries expense,Office supply purchase,4243,, Sales,Approved
08-Apr-2024,TXN-1051,ACC-5400,Office Supplies,Payroll run,5160.79,,Operations,Approved
21-Dec-2024,TXN-1184,5400 ,Office Supplies,Monthly office rent,"14,927.45",,finance,APPROVED
2024-09-27,TXN-1140,4100 ,Revenue - Retainer,Payroll run,,"$10,599.94",SALES,Pending review
"June 07, 2024",TXN-1082,1000,Cash and Bank,Monthly office rent,2445,,SALES,  
,TXN-1115,1000 ,CASH AND BANK,client invoice payment received,8777,,Finance,Approved
,TXN-1095,5400,Office Supplies,Google Ads campaign,"$11,395.36",, Sales,approved
12-Mar-2024,TXN-1037,1000 ,Cash and Bank,client invoice payment received,252,,SALES,Pending review
"September 11, 2024",TXN-1132,4100 ,REVENUE - RETAINER,Tax remittance,,"9,439.90",Admin,  
